type,name,symbol,address,deployer
20,XEN Crypto,bXEN,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,0x2b8ad0083c09da898d6beee190c6a2f2345d547c
20,Tether USD,USDT,0x55d398326f99059ff775485246999027b3197955,0x970609ba2c160a1b491b90867681918bdc9773af
20,eCash,XEC,0x5f7a1a4dafd0718caee1184caa4862543f75edb1,0x73477bb8ed1a8fecf73919f445eedb4651723d9b
20,My Get Rich Token,MGRT,0x71753d0586ea6b979dfccbb492a45e611e0e0ad6,0x9f8c767a407b74dd35f2916c21114186d5cc8ab2
20,BUSD Token,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xf07c30e4cd6cfff525791b4b601bd345bded7f47
20,$$SafeGrowCoin,SGC,0x7aa3a53360541283ffa9192972223b47a902dc0c,0x3ee2711e7ec08e4c63ee3be0ab9b9fd14de0a363
20,DRIP Reward Token ,rDRIP,0xa02a0b2d67d4fa48677a79cadc483e114049916d,0x8888a8ba101a1d79a5e97f3b752197ec056293f2
20,Wrapped ADAX,wADAX,0x35122d1fe8001296f61290b8ba42ef597af31fb7,0xa260cf0b46e3ee8298d9562c497b960d0c8a3a7d
20,SDJT,SDJT,0xbb368656efa67361b0063fe0f11cb08bd460246d,0xf19caf3735693ce32456558463bd118e3e2818de
20,Germany,Germany,0xd9d0e3dd09c78930de4ac83856bd0af6d3dd2022,0x210ec59aa4f7dd3e26068579047c6ef39c2b53bb
20,Smart Chain Coin,BSC-Coin,0xe3e1147acd39687a25ca7716227c604500f5c31a,0x719fcab50aede3d66a0c9fc60bdfb527fb7bcee2
20,TiFiToken,TiFi,0x4865e1a37409209dabe288bcb539e86b774aad2c,0x00ec22b7f0b6727bcd4bc7456afafc8ae880d650
20,Fist Coin DAO,FISTDAO,0x41791dab02a1f9b2430cd46f2c6a2b33aa7fd25d,0xb788ed7222a172c83f7390d820917cdf97650aab
20,LUNC,LUNC,0x5259639653f76f3385ba100ddb6290724891a95b,0x7a8b7d941f33890494ed5df2953c3a960c923b79
20,XEN Crypto,XEN,0xc068cbf21ac99cedfcc8973d66f20d7f235a3ba2,0xd8e510cda8ce408f8b713cda795e3fe52865e5b5
20,Binance-Peg USDD,USDD,0x9fffe0385dc7584faeeac59f56eedfc442bba622,0x2610d2d104fa2ef16070b68b3ab532b090d8eadf
20,Binance-Peg EthereumPoW Token,ETHW,0x6d4cc9dc49c8450853dec381c65f30a48aa52aa0,0x88888761edc1cab53d5bda95b184adcb8bfcf2ff
20,Brazil,Brazil,0x5693ebf94b7c104d8cf2c1b1cc6deb53f7ce48bf,0x7d1b5a54b17a4d2bc2cea69ae29d1a441020bbe1
20,AngelDust,AngelDust,0x32d3499feca3f881d779f0183d7b41d32b2498df,0x888883d17534d98c8391bdd75ab101d5adb3a059
20,France,France,0x56fdbe90da766a28534b9615c97b5af9b3a1c110,0xf44c3a08d7fc5a891727f48b010d2cd12242c139
20,FTX Token,FTT,0xed96fdfc15ea82c5ae2469320236ddfc18de243e,0x0d0b7f4fd450d16d2b728072c757f8e41a0bb306
20,Pi,Pi,0xa828306401b4ad0ac070ace483ff257bb6c1b761,0x97cafd97b3e1c93d519afe22f33d683e3896a37b
20,SUC Token,SUC,0x5b2013fede9d456e819706c529b58885c8850bc3,0x3355faa930d0ed5b16d31e039020d5034a5a7ecc
20,Aptos,APT,0x2b2af27b6d8bdff171a97fe12a8fe0fcc9cc4bbd,0xa739f8f24eed3f8dff4b1c3ccc4da3f71769cb7d
20,England,England,0x183222b68d186d0c89c3a4af68277be5c8882022,0x7b199161896e3e30681ca770478071b6f642fe7d
20,RiftDao.net,RiftDao.net,0x4f6a82bb5fd0996158c9ac6bd3605489cad82d8d,0xc648b24c87b4855c9b9b58eddabf5456c13e4a70
20,RRDao.net,RRDao.net,0xa47b34ff31e22ef03f6054af19542bcde260cdc7,0xc648b24c87b4855c9b9b58eddabf5456c13e4a70
20,CCDS,CCDS,0xbfd48cc239bc7e7cd5ad9f9630319f9b59e0b9e1,0x83c89b067107a49c99040c5411bbc00d34c3b4df
20,PancakeSwap Token,Cake,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x0f9399fc81dac77908a2dde54bb87ee2d17a3373
20,Ethereum Token,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x88efdac29e3ba290512e26c04908692ae9810566
