type,address,name,legit
3,0x2953399124f0cbb46d2cbacd8a89cf0599974963,OPENSTORE,1
2,0xec6b56f739e85eeb43d4eb514caf579b8ee8d69c,CasinoRareKey,1
2,0x857a049b994f84924d8e0c36620359f175d59012,BTMS,1
1,0x1599fe55cda767b1f631ee7d414b41f5d6de393d,MILK,1
1,0x3d2aa1193094d824735795a77b91417917f73375,HON,1
1,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,1
1,0xe3eeda11f06a656fcaee19de663e84c7e61d3cac,anyUSDT,1
1,0x1a13f4ca1d028320a707d99520abfefca3998b7f,amUSDC,1
1,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,1
2,0x4d544035500d7ac1b42329c70eb58e77f8249f0f,LOKI,1
2,0x30ad1e5c7375053440567be2bc69b743058c6e4c,SQUARE,1
2,0xd50d167dd35d256e19e2fb76d6b9bf9f4c571a3e,PGX-Pega,1
1,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,1
1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,WETH,1
1,0x4455ef8b4b4a007a93daa12de63a47eeac700d9d,KNIGHT,1
1,0xd85d1e945766fea5eda9103f918bd915fbca63e6,CEL,1
1,0x95512f57b88e04f080ae88f6106f406438cf89b6,FISH,1
1,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,GHST,1
2,0xc2c268d85c0d3bb00d755425ee35e1097d0198df,BiD,1
2,0xe67eb71ba139cec937e9329b43de563ddae31b3a,RA,1
2,0xb2435253c71fca27be41206eb2793e44e1df6b6d,PIX,1
1,0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe,IXT,1
2,0x221e81c1234bb1c067d631a90a6630c32b9f0fcc,ZQN,1
1,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,DAI,1
1,0xcc1b9517460d8ae86fe576f614d091fca65a28fc,VIS,1
1,0xb0897686c545045afc77cf20ec7a532e3120e0f1,LINK,1
1,0x8a953cfe442c5e8855cc6c61b1293fa648bae472,PolyDoge,1
1,0xb2d28599428c66f75fee3184aeda2eae62c3707c,eCoin,1
1,0xdcb8f34a3ceb48782c9f3f98df6c12119c8d168a,tetuMESH,1
1,0x82362ec182db3cf7829014bc61e9be8a2e82868a,MESH,1
1,0x44a6e0be76e1d9620a7f76588e4509fe4fa8e8c8,FOMO,1
1,0xa482424da17786c0976dfd80a6995f4236a1db5d,Mana,1
1,0xee7666aacaefaa6efeef62ea40176d3eb21953b9,MCHC,1
1,0x2d027e55b85429e9f205930a8aff6d8e6c8c3021,RAYS,1
2,0xe96a0c76e3469f03f80a12fe7ec87d001b6f3935,MCHS,1
1,0x791e974fd87c8d0bcaa9aa253ff4591a5957127c,AdMESH,1
1,0x1bd5048e0b85c410dd039aa9c05069a9d82488b8,ORC,1
1,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,ROUTE (PoS),1
1,0x863d6074afaf02d9d41a5f8ea83278df7089aa86,SKILL,1
1,0xd1f9c58e33933a993a3891f8acfe05a68e1afc05,SFL,1
1,0xbbba073c31bf03b8acf7c28ef0738decf3695683,SAND,1
1,0x403e967b044d4be25170310157cb1a4bf10bdd0f,FUD,1
1,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,WBTC,1
1,0xc1c93d475dc82fe72dbc7074d55f5a734f8ceeae,PGX,1
2,0x274b9c27d950877941be620780feea5948fbe9b7,AZB,1
2,0xb498578fb5e1b2892f80c3a4e2f51f6b8b150cd6,CCHE,1
1,0xabe1a652cbc6eb1782b5de4e800f8bf714aaf5d0,CANDYDEX,1
2,0xbfd00f64207de914d0d7f9421a12abb7828982a0,tony-Fl,1
2,0xa94f89aa6861dfd202d71ecdfa5ca6d56a1d593a,WonderNFT,1
2,0x96befb18f0fdb1e7dbca6116a2a837a27bff7ad3,Market-LP,1
1,0xc004e2318722ea2b15499d6375905d75ee5390b8,KOM,1
1,0x6a3e7c3c6ef65ee26975b12293ca1aad7e1daed2,ALPHA,1
1,0x42e5e06ef5b90fe15f853f59299fc96259209c5c,KEK,1
1,0x1379e8886a944d2d9d440b3d88df536aea08d9f3,MYST,1
2,0x50a8fb72e2362433441ad274e3bb174091770241,BEAR,1
3,0x86935f11c86623dec8a25696e1c19a8659cbf95d,GOTCHI,1
3,0x7da61ac624ea81c27dfda88950f4610423bd242c,AnRKey X,1
1,0x831753dd7087cac61ab5644b308642cc1c33dc13,QUICK,1
1,0xdd2af2e723547088d3846841fbdcc6a8093313d6,GOGO,1
1,0xcd7361ac3307d1c5a46b63086a90742ff44c63b3,RAIDER,1
1,0x426a56f6923c2b8a488407fc1b38007317ecafb1,SLP,1
3,0xf2188e17a3b33902ceaa645f8470904eb0ce943f,vVault,1
1,0xa753efa27efd65a456295078ed606306c52c2ebf,GLDY,1
1,0x4483dd44922cc9e8012034b7d7705a6d32f1fda9,CLC,1
