type,name,symbol,address,deployer
721,Bored Mangmoom,,0x99edc7af5923b5a8dfe041f4252a892b2862f582,0x9270b79d24d8eb1bba8cf7774ad6c23f2e8eac0e
721,Blockchain NFT,BLOCK,0x19cf19bf250bba55583713085850c4fcf94f3ea8,0xc31ff70582cdefb82149e5409204a95abb997a0d
721,Bored Town,BORED,0x8e56343adafa62dac9c9a8ac8c742851b0fb8b03,0x6ff5723435b7dfc2371b57fb5cb4c373e5995c78
721,TheEmptyTacos,EmptyTacos,0x8a3233ffdfaecfe5882ec73905cb8b800b0e5d82,0xe96d038372bd08e519d6142d31d80c2b7a1d7a4a
721,BackedCommunity,BACKED,0x63a9addf2327a0f4b71bcf9bfa757e333e1b7177,0xe89cb2053a04daf86abaa1f4bc6d50744e57d39e
721,Blur is LIVE!,,0x656daabfc8a94569d1a4053a4b78f7d748b13f9f,0x302f746ee2fdc10ddff63188f71639094717a766
721,"ōLand Rulebook [1 of 3]",LANDRULEBOOK[1OF3],0x6e86c1651414a7c85b37931faa9b6c01bae25226,0x302f746ee2fdc10ddff63188f71639094717a766
721,OAYC Mutagen II,,0x19287b85b215c043974860361f8559a3ce1c3543,0x81b7e9d8409b857d70ad14073e785c486945caf4
721,wontonomics for the hungry minds,WONTONOMICSFORTHEHUNGRYMINDS,0x6005f42f7d0a2cd1068537b587d819683fa3792d,0x302f746ee2fdc10ddff63188f71639094717a766
721,W3P: n00b wallets,W3PN00BWALLETS,0x4269c54faefc3a186d1c736660611c655e649e2c,0x302f746ee2fdc10ddff63188f71639094717a766
721,Deploying a cross-chain NFT with LayerZero,,0x7a600cc8c0683b898f45469e5a08fe15d5d21056,0x302f746ee2fdc10ddff63188f71639094717a766
721,Uniswap Foundation Grants: Wave 1,UNISWAPFOUNDATIONGRANTSWAVE1,0x9e5a2c321d94f2d0e4d411fecec2b55c8071def5,0x302f746ee2fdc10ddff63188f71639094717a766
721,Mail3' subscription now supports ECHO,MAIL3SUBSCRIPTIONNOWSUPPORTSECHO,0x7582ee9037114cc1279670cc4fd0cfa9445227e5,0x302f746ee2fdc10ddff63188f71639094717a766
721,Taiko Community Update - Q3 2022,,0xed8112aeb72684ce0bb1fbb0e8b06fad753b9299,0x302f746ee2fdc10ddff63188f71639094717a766
721,Building the Liquidity Layer of StarkNet,BUILDINGTHELIQUIDITYLAYEROFSTARKNET,0x217cd608242eb9218440b50d18ba2ab0cf65724d,0x302f746ee2fdc10ddff63188f71639094717a766
721,Mean Finance - DCA Position,,0x6f54391fe0386d506b51d69deeb8b04e0544e088,0x52fadbb4620267f79c7440476d8bac8a4ee37cc0
721,"Slingshot expands to Canto, enabling 0% LP fee trading.",SLINGSHOTEXPANDSTOCANTOENABLING0LPFEETRADING,0xb3b0b68f6b27e3841be6199edb06169f5137efda,0x302f746ee2fdc10ddff63188f71639094717a766
721,AstroMism,AM,0xc7095c9b4cccb3ec86abe5ca4cb0b50443a2c135,0x55f1d8651a936c4fd05c155661e6acedfd684249
721,PolyEgg,,0x17f74d4166abfced865a44f231aae55279752384,0x1f29cba44478bd2df384e4b21b39e6fb92f350fa
721,Mechwarrior,MECHWARS,0x5e2184ff90481bb8e8f26a084d7e7ebe6935b90b,0xd24b3de085cfd8c54b94fead08a7962d343e6de0
721,Trashgans,TRASHGANS,0xb1eddb902ef733baf8e324e955ee6d46cce34708,0xd24b3de085cfd8c54b94fead08a7962d343e6de0
721,L2StateOfMind Early Adopters,,0xf742575158a0fa238ba6dd9a8e890ce82acc0fe1,0x2f374f704e0fa8cfa9f393eddbd0527c8008e993
721,Spookies Pumpkin,SP,0xf7facd881a79c4969f526869ddbb494a2b4071a2,0x841e685229d423e1747750a54bb53e2bc722d791
721,The Vintract,VINTRACT,0xb82b7887f0a92ca07907e7c01d9ffbbebe95daf4,0x6ff5723435b7dfc2371b57fb5cb4c373e5995c78
721,🤑 Mferswap Airdrop.,,0x807e1131158aeaed8ed3ebfef6797fdc7bcd99fb,0x302f746ee2fdc10ddff63188f71639094717a766
721,NerdApeDAONFT,NAD,0x824bb1f0438a38ea424e19171ef6665a4bcce3a5,0x6de3d6756f51ad29b8f6665654c0dd514a7d3905
721,Optimisim Airdrop 2,OPTIMISIMAIRDROP2,0xe867294b0164e2f9775ef38dd991714ecd4d13ad,0x302f746ee2fdc10ddff63188f71639094717a766
721,JustApproved,AP,0xe4c9f640643b8b35bf74466042efe367c9a6e3fd,0xb75566e920bb65b3e49ceea0ad464341f3799a9b
721,JustEgo,,0x892008d72e38742aae50511b8cd30011afe35709,0x1ed322d92f771ff28827e1d21269c528306b1eb3
721,JustNitrogen,NG,0xa085cce614192e8ac4e7de1838970aada688081d,0x9d31289e75ee20bb02046775c0e976e00c37bb00
721,Zorbs,ZORB,0xe34735051d7ee09be213f11332f5a93e0f74c41b,0x4482b6510df4c723bdf80c4441dbdbc855ab29ac
721,Aave News #75,,0x5d18381cccb163190f5a03e45f0301f9c72f1cce,0x302f746ee2fdc10ddff63188f71639094717a766
721,Olands,OLAND,0xe3227d7e3ca1aff7e3644951dab2affc9fab9c90,0xd24b3de085cfd8c54b94fead08a7962d343e6de0
721,Cross-Margin and Advanced Orders,,0xfe7dec56f73a23527a64d47c822627b77cc4a424,0x302f746ee2fdc10ddff63188f71639094717a766
721,Holo Mask : White & Black,HoloMask,0xe0a3711d4286e628998d47bef524c292defd1719,0xba36ed5b6d783bcdf83ef81684ce1ffac0bc1e79
721,Jigsaw Man Daily Life,Jigsawman1,0xbb298b0390a19febd577763109a418162faf7566,0x85483d1813ad6c0a0e7de16bc1f346f93ea76286
721,愛を分かち合う,,0x6ea7d342e176a95730ea2f2f9394c27d71f0da03,0x302f746ee2fdc10ddff63188f71639094717a766
721,LITEPAPER,,0x63a15f1e34658943b8bc702cc569201e3169e8e7,0x302f746ee2fdc10ddff63188f71639094717a766
721,"The Nature of ART & D3CONOMICS",THENATUREOFARTD3CONOMICS,0xf7a2f8706e0af9b608e18273bda64fb1d0408369,0x302f746ee2fdc10ddff63188f71639094717a766
721,Scammers In Paris ,SCAMMERSINPARIS,0x57f075cb12a6c4581e932c366cf0feadf177ff9d,0x302f746ee2fdc10ddff63188f71639094717a766
721,Optimized Axolotls Second Edition,SODA,0x5fbee24d4c5789b408c27542cf0a6190c1379f60,0xe78f86019d37684ce6d9f68a1444b966d100c8eb
721,Torah announce its free TRH airdrops for $CRV and $UNI holders,,0x398d238a1921edc26c5b9299b7577ae91447057d,0x302f746ee2fdc10ddff63188f71639094717a766
20,nUSD LP,nUSD-LP,0x2c6d91accc5aa38c84653f28a80aec69325bdd12,0xf44938b0125a6662f9536281ad2cd6c499f22004
20,Tether USD,,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,genesis
20,PoolTogether aOptUSDC Ticket,PTaOptUSDC,0x62bb4fc73094c83b5e952c2180b23fa7054954c4,0x4d40eb12430a57965cee3015348d490c6156df20
20,,HOP-LP-USDC,0x2e17b8193566345a2dd467183526dedc42d2d5a8,genesis
20,,rETH,0x9bcef72be871e61ed4fbbc7630889bee758eb81d,0x2e985acd6c8fa033a4c5209b0140940e24da7c5c
20,,anyWETH,0x965f84d915a9efa2dd81b653e3ae736555d945f4,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
20,StargateToken,,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d
20,Hop,,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0x9aa99c23f67c81701c772b106b4f83f6e858dd2e
20,,LUSD,0xc40f949f8a4e094d1b49a23ea9241d289b7b2819,genesis
20,,USD+,0x73cb180bf0521828d8849bc8cf2b920918e23032,0x5cb01385d3097b6a189d1ac8ba3364d900666445
20,,PERP,0x9e1028f5f1d5ede59748ffcee5532509976840e0,0x4200000000000000000000000000000000000012
20,Lido DAO Token,,0xfdb794692724153d1488ccdbe0c56c252596735f,0x4200000000000000000000000000000000000012
20,Aave Optimism AAVE,,0xf329e36c7bf6e5e86ce2150875a84ce77f477375,0x8145edddf43f50276641b55bd3ad95944510021e
20,,LyETHpt,0x0d1a91354a387a1e9e8fcd8f576670c4c3b723ca,0x41a742d0cb523b0c313518309ade763fb609da25
20,,sETHo,0x09448876068907827ec15f49a8f1a58c70b04d45,0xda2d96eadab3671d9dfc6b2901aa85e99f8f0eb3
20,,opxveVELO,0x46f21fda29f1339e0ab543763ff683d399e393ec,0x5bd973c3841b754386963abb117ffc796041aecf
20,Kromatika,,0xf98dcd95217e15e05d8638da4c91125e59590b07,0x2e985acd6c8fa033a4c5209b0140940e24da7c5c
20,Elk,,0xeeeeeb57642040be42185f49c52f7e9b38f8eeee,0x6bc5fc9d0d908ef8444a7d8f6a7e1a7050a82084
