type,name,symbol,address,deployer
20,AvaxClassic.com,AvaxClassic.com,0x4c4f4f4122c3a80d30c1ad6ad2828953015bd52c,0x013ee7e2cd88f90830624c70f7a554c77b1d79f2
20,Minereum AVAX,MNEAV,0xf9d922c055a3f1759299467dafafdf43be844f7a,0x074a2bb7686da8dacad178aece2ad280b8d4c25d
20,USD Coin,USDC,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0xcb9968cb0d6612e1167e445774997c63a0792dbf
20,24DROP.NET,24DROP.NET,0x2be494c06316c0d7371250419a9c659a0752ecb3,0xf5ff18b73246de5392c8503303eb0f5b91f03d1f
20,XEN Crypto,aXEN,0xc0c5aa69dbe4d6dddfbc89c0957686ec60f24389,0x2b8ad0083c09da898d6beee190c6a2f2345d547c
20,TetherToken,USDt,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0x503560430e4b5814dda09ac789c3508bb41b24b2
20,USD Coin,USDC.e,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0x50ff3b278fcc70ec7a9465063d68029ab460ea04
20,Tether USD,USDT.e,0xc7198437980c041c805a1edcba50c1ce5db95118,0x50ff3b278fcc70ec7a9465063d68029ab460ea04
20,Wrapped AVAX,WAVAX,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x808ce8dec9e10bed8d0892aceef9f1b8ec2f52bd
20,STEP.APP,FITFI,0x714f020c54cc9d104b6f4f6998c63ce2a31d1888,0x011d24405905d69b3a38bbd336dcbe0cc2c09149
20,DegisToken,DEG,0x9f285507ea5b4f33822ca7abb5ec8953ce37a645,0xeb496257b64cc2d39c291b209f465f3cfade0873
20,JoeToken,JOE,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,0x5d3e4c0fe11e0ae4c32f0ff74b4544c49538ac61
20,Staked AVAX,sAVAX,0x2b2c81e08f1af8835a78bb2a90ae924ace0ea4be,0xb5d72f3e80ac24a26a164ac86234e693195c7d8b
20,THOR v2,THOR,0x8f47416cae600bccf9530e9f3aeaa06bdd1caa79,0x278cd9000195421d27cf8b2ddfb5fbdffc6df958
20,Wrapped Ether,WETH.e,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0x50ff3b278fcc70ec7a9465063d68029ab460ea04
20,Wrapped MEMO,wMEMO,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,0xfddfe525054efaad204600d00ca86adb1cc2ea8a
20,Benqi sAVAX,qisAVAX,0xf362fea9659cf036792c9cb02f8ff8198e21b4cb,0xf799c20563218190424c3aec6022ce9faf588eb7
20,Dai Stablecoin,DAI.e,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,0x50ff3b278fcc70ec7a9465063d68029ab460ea04
20,Joe LP Token,JLP,0xf4003f4efbe8691b60249e6afbd307abe7758adb,0x9ad6c38be94206ca50bb0d90783181662f0cfa10
20,Dexalot Token,ALOT,0x093783055f9047c2bff99c4e414501f8a147bc69,0xff8713e16dfb2cd2ffda338e12cc91165ce8426a
20,XANA,XETA,0x31c994ac062c1970c086260bc61babb708643fac,0x8c0b48b884ea896a4f7733db371300e03cc2dc54
20,Betswap.gg,BSGG,0x63682bdc5f875e9bf69e201550658492c9763f89,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
20,Spell Token,SPELL,0xce1bffbd5374dac86a2893119683f4911a2f7814,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
