type,address,name,legit
2,0x49c8859fc8d242f42b595b20a8c51bbdc01d5331,JPOP,1
2,0x47f3a38990ca12e39255e959f7d97fbe5906afd4,APE_REUNION,1
2,0x3d48c29bcf436498f1d3aae2d573a11fc9040754,MF,1
2,0xb15b1ec7d152e3a42d620d4cb1af400b5ca6fcab,PEPEZUKI,1
2,0xf74a83876b451d41ab59df6d0d77e84a419bc0d7,MARS,1
1,0x30d20208d987713f46dfd34ef128bb16c404d10f,SD,1
1,0xccf4429db6322d5c611ee964527d42e5d685dd6a,cWBTC,1
1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1
1,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,1
2,0x00ea2894fe840f105ab99a8f8f75b1f17e94843a,DRx,1
2,0x2a5503280d66a47de0754ddc73252ca9a4e93dcb,GHOST,1
2,0xdb5b3dc41fde2851ca4ae992073f41f4ffd39539,EANFT,1
2,0x809d8f2b12454fc07408d2479cf6dc701ecd5a9f,IVYBOYS,1
1,0x0335a7610d817aeca1bebbefbd392ecc2ed587b8,NITRO,1
1,0x028171bca77440897b824ca71d1c56cac55b68a3,aDAI,1
2,0xa7c92f042328c30865c601b8c3605d2c7116395b,BLOB,1
2,0xca21d4228cdcc68d4e23807e5e370c07577dd152,ZORB,1
1,0xdc0327d50e6c73db2f8117760592c8bbf1cdcf38,STRNGR,1
1,0xebf2096e01455108badcbaf86ce30b6e5a72aa52,XIDR,1
1,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,1
1,0x0d438f3b5175bebc262bf23753c1e53d03432bde,wNXM,1
1,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,1
1,0x1c9922314ed1415c95b9fd453c3818fd41867d0b,TOWER,1
1,0x9b83f827928abdf18cf1f7e67053572b9bceff3a,ARTEM,1
1,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,LEND,1
1,0x2e1e15c44ffe4df6a0cb7371cd00d5028e571d14,MTLX,1
1,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,FET,1
1,0x3155ba85d5f96b2d030a4966af206230e46849cb,RUNE,1
2,0x83979584ec8c6d94d93f838a524049173deba6f4,JPEGC,1
1,0x656c00e1bcd96f256f224ad9112ff426ef053733,EFI,1
1,0x993864e43caa7f7f12953ad6feb1d1ca635b875f,SDAO,1
