type,address,name,legit
1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,1
1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,1
1,0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,1
2,0xe0d972817e94c5ff9bdc49a63d8927a0ba833e4f,.SMOL,1
2,0x00000000016c35e3613ad3ed484aa48f161b67fd,SMITHWEP,1
1,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,DAI,1
1,0xc4b24ec9fb2dc32b3a545e0d873d2598031b80c5,FYUSDC2206,1
1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,1
3,0xe1387d38b5d9d973d0e24fbda227d9823cd834eb,SMITHRESOURCES,1
1,0xda7c0de432a9346bb6e96ac74e3b61a36d8a77eb,hETH,1
1,0x7f90122bf0700f9e7e1f688fe926940e8839f353,2CRV,1
1,0xbf7e49483881c76487b0989cd7d9a8239b20ca41,2CRV-gauge,1
1,0x1ddcaa4ed761428ae348befc6718bcb12e63bfaa,deUSDC,1
1,0xec1b42ec9a1650238ace42fd57bc719ccc87851c,FYUSDC2209,1
1,0x13ab946c6a9645edff2a33880e0fc37f67122170,FYUSDC2209LP,1
1,0x92a5b31310a3ed4546e0541197a32101fcfbd5c8,YSUSDC6MMS,1
1,0xaaaaaaaa6d080446ba8e298d025c01117c049cf1,ETN,1
1,0x7d4377114fd3c61c59d72de48102bf6acd3882b1,Cozy-ETH-1,1
1,0xb971532b7ad5cac2d692c12f852775ebc713159e,IDT,1
1,0x59745774ed5eff903e615f5a2282cae03484985a,HOP-LP-ETH,1
1,0xf4fe727c855c2d395852ca43f645cab4b504af23,HDX,1
1,0xb7f5ca475d7f62ab9a6729d8118b0e65e666f005,sHDX,1
1,0x625e7708f30ca75bfd92586e17077590c60eb4cd,aArbUSDC,1
1,0xce3b19d820cb8b9ae370e423b0a329c4314335fe,HOP-LP-USDT,1
2,0xfe8c1ac365ba6780aec5a985d989b327c27670a1,LGN,1
2,0x965dced5f442bb57432e56e47bb43fd6fffd531c,BooomNFT,1
1,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,1
2,0xc36442b4a4522e871399cd717abdd847ab11fe88,UNI-V3-POS,1
1,0x3405a1bd46b85c5c029483fbecf2f3e611026e45,anyUSDC,1
1,0x32eb7902d4134bf98a28b963d26de779af92a212,RDPX,1
1,0x1f6fa7a58701b3773b08a1a16d06b656b0eccb23,jrDPX,1
1,0x17fc002b466eec40dae837fc4be5c67993ddbd6f,FRAX,1
1,0x39f91452a6e9994762876e1edd87be28a46d5c99,DIA,1
1,0x7d7e4f49a29dda8b1ecdcf8a8bc85edcb234e997,3S-ETH/USD,1
1,0xb67c014fa700e69681a673876eb8bafaa36bff71,HOP-LP-USDC,1
2,0x94546e31a8eca3da6143eff3a0012be3af1ba7b8,Arbitrum Airdrop,1
1,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aArbWETH,1
2,0xf7fbe8eec9063aa518d11639565b018468bb4abb,KOTESQUIRES,1
1,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,1
1,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,UNI,1
1,0x876ec6be52486eeec06bc06434f3e629d695c6ba,FLUID,1
1,0x6ab707aca953edaefbc4fd23ba73294241490620,aArbUSDT,1
1,0x6c2c06790b3e3e3c38e12ee22f8183b37a13ee55,DPX,1
1,0x0c1cf6883efa1b496b01f654e247b9b419873054,SLP,1
1,0x32a322c7c77840c383961b8ab503c9f45440c81f,FIEF,1
2,0x7480224ec2b98f28cee3740c80940a2f489bf352,EllerianHeroes,1
1,0x55ff62567f09906a85183b866df84bf599a4bf70,KROM,1
1,0xf42ae1d54fd613c9bb14810b0588faaa09a426ca,esGMX,1
1,0x908c4d94d34924765f1edc22a1dd098397c59dd4,sGMX,1
1,0x35247165119b69a40edd5304969560d0ef486921,bnGMX,1
1,0x4d268a7d4c16ceb5a606c173bd974984343fea13,sbGMX,1
1,0xd2d1162512f927a7e282ef43a362659e4f2a728f,sbfGMX,1
2,0xfac7fe5e11fcbc837c2e115626324caaf3a56dd9,OF,1
1,0x10393c20975cf177a3513071bc110f7962cd67da,JONES,1
1,0x3221022e37029923ace4235d812273c5a42c322d,SLP,1
1,0xd4d42f0b6def4ce0383636770ef773390d85c61a,SUSHI,1
1,0x0ce6c85cf43553de10fc56ceca0aef6ff0dd444d,hUSDC,1
1,0x5575552988a3a80504bbaeb1311674fcfd40ad4b,SPA,1
1,0x1616bf7bbd60e57f961e83a602b6b9abb6e6cafc,1L-BTC/USD,1
1,0x21eaa8af503841f60c4496fa25365990b5b06105,ETH-13MAY22-2400-P,1
1,0x79f707d68cd49ca5d9aeb33affd4477c3ea8ea8f,ETHV,1
1,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,aArbDAI,1
2,0xf6cc57c45ce730496b4d3df36b9a4e4c3a1b9754,BRAINPETS,1
1,0xe6c8d111337d0052b9d88bf5d7d55b7f8385acd3,ETHx,1
1,0xb7e50106a5bd3cf21af210a755f9c8740890a8c9,SLP,1
1,0xfcc0351f3a1ff72409df66a7589c1f9efbf53386,CORN,1
1,0x3cd1833ce959e087d0ef0cb45ed06bffe60f23ba,LAND,1
1,0xfea7a6a0b346362bf88a9e4a88416b77a57d6c2a,MIM,1
1,0x45096e7aa921f27590f8f19e457794eb09678141,USDG,1
1,0x4277f8f2c384827b5273592ff7cebd9f2c1ac258,GLP,1
1,0x4e971a87900b931ff39d1aad67697f49835400b6,fGLP,1
1,0x1addd80e6039594ee970e5872d247bf0414c8903,fsGLP,1
